ListSizes,sort top 500 runtime
0,0
1000,3
2000,4
3000,7
4000,9
5000,12
6000,14
7000,17
8000,19
9000,21
10000,23
11000,25
12000,28
13000,30
14000,32
15000,34
16000,37
17000,40
18000,41
19000,44
20000,46
21000,49
22000,50
23000,54
24000,55
25000,58
26000,60
27000,65
28000,66
29000,68
30000,70
31000,73
32000,75
33000,76
34000,79
35000,80
36000,84
37000,85
38000,88
39000,93
40000,96
41000,96
42000,99
43000,101
44000,102
45000,110
46000,117
47000,120
48000,114
49000,114
50000,119
51000,120
52000,121
53000,123
54000,126
55000,135
56000,133
57000,134
58000,141
59000,141
60000,142
61000,146
62000,146
63000,149
64000,149
65000,152
66000,156
67000,156
68000,161
69000,163
70000,164
71000,167
72000,198
73000,231
74000,198
75000,183
76000,184
77000,179
78000,182
79000,184
80000,190
81000,193
82000,199
83000,212
84000,225
85000,220
86000,227
87000,221
88000,213
89000,222
90000,214
91000,217
92000,218
93000,222
94000,225
95000,223
96000,226
97000,230
98000,240
99000,231
100000,234
101000,242
102000,243
103000,248
104000,246
105000,253
106000,255
107000,271
108000,253
109000,265
110000,258
111000,261
112000,276
113000,267
114000,272
115000,273
116000,277
117000,284
118000,283
119000,296
120000,285
121000,287
122000,291
123000,293
124000,293
125000,298
126000,303
127000,306
128000,338
129000,328
130000,322
131000,345
132000,330
133000,346
134000,324
135000,323
136000,407
137000,341
138000,341
139000,348
140000,337
141000,337
142000,340
143000,344
144000,363
145000,344
146000,349
147000,352
148000,399
149000,388
150000,385
151000,363
152000,393
153000,379
154000,367
155000,380
156000,380
157000,427
158000,404
159000,378
160000,376
161000,373
162000,384
163000,383
164000,383
165000,395
166000,405
167000,395
168000,408
169000,408
170000,402
171000,399
172000,404
173000,446
174000,409
175000,415
176000,446
177000,425
178000,442
179000,447
180000,467
181000,439
182000,459
183000,465
184000,451
185000,441
186000,451
187000,447
188000,449
189000,453
190000,462
191000,453
192000,454
193000,451
194000,456
195000,460
196000,458
197000,463
198000,467
199000,468
