DictionarySize,time using hashcode1(sum(first 4 char)),time using hascode2(sum(all char)),time using hascode3(the way java does)
0,0,0,0
1000,0,0,1
2000,1,1,2
3000,2,2,3
4000,3,2,3
5000,3,3,4
6000,7,5,6
7000,8,5,6
8000,10,7,8
9000,12,6,8
10000,15,9,9
11000,27,10,12
12000,27,14,13
13000,28,13,13
14000,30,13,13
15000,38,17,14
16000,43,15,17
17000,43,16,15
18000,52,18,16
19000,54,20,16
20000,66,20,21
21000,94,32,29
22000,108,38,28
23000,109,38,29
24000,121,40,30
25000,145,41,32
26000,148,44,30
27000,149,45,32
28000,157,47,33
29000,174,55,32
30000,195,55,34
31000,216,60,37
32000,227,64,37
33000,247,65,37
34000,275,66,38
35000,295,69,47
36000,304,76,38
37000,332,82,36
38000,317,78,38
39000,354,82,45
40000,371,102,41
41000,480,163,62
42000,512,175,64
43000,564,185,62
44000,586,143,62
45000,624,143,62
46000,615,157,69
47000,679,157,70
48000,697,156,68
49000,712,164,65
50000,747,164,66
51000,752,180,65
52000,866,185,69
53000,821,219,68
54000,931,192,69
55000,922,195,69
56000,1017,211,70
57000,1023,223,76
58000,1047,240,73
59000,1092,240,73
60000,1141,302,76
61000,1182,293,75
62000,1232,281,73
63000,1270,269,79
64000,1487,294,80
65000,1314,273,76
66000,1488,308,84
67000,1555,288,77
68000,1702,327,89
69000,1491,338,82
70000,1604,333,86
71000,1810,355,82
72000,1788,355,87
73000,1784,376,91
74000,1847,389,95
75000,1907,404,105
76000,2215,384,84
77000,2035,537,88
78000,2078,411,146
79000,2188,420,91
